run_id,sequence,backend,perturb_type,perturb_axis,perturb_magnitude,perturb_units,config_path,trajectory_path,status,ate_rmse_m,rpe_trans_rmse_m,rpe_rot_rmse_deg,runtime_s,estimated_duration_s,completion_rate,failure_reason,notes
openvins_MH01_nominal_full_000,MH_01_easy,openvins,nominal,none,0,none,results/configs_used/openvins_MH01_nominal_full_000/estimator_config.yaml,results/trajectories/nominal/openvins_MH01_nominal_full_000/openvins_estimate.tum,success,0.079973,0.032763,0.225416,,139.100000,0.740881,,Full frozen-calibration nominal MH01 OpenVINS run; SE3 alignment no scale; RPE delta 20 frames.
openvins_MH01_rot_z_5deg_full_000,MH_01_easy,openvins,rotation,z,5.0,deg,results/configs_used/openvins_MH01_rot_z_5deg_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH01_rot_z_5deg_full_000/openvins_estimate.tum,success,2.064969,0.194584,0.343487,,139.100000,0.740881,,Full MH01 OpenVINS run with frozen calibration and z-axis camera-IMU rotation perturbation of 5 degrees.
openvins_MH01_rot_z_0p5deg_full_000,MH_01_easy,openvins,rotation,z,0.5,deg,results/configs_used/openvins_MH01_rot_z_0p5deg_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH01_rot_z_0p5deg_full_000/openvins_estimate.tum,success,0.100281,0.029226,0.229276,,139.100000,0.740881,,Full MH01 OpenVINS run with frozen calibration and z-axis camera-IMU rotation perturbation of 0.5 degrees.
openvins_MH01_rot_z_1deg_full_000,MH_01_easy,openvins,rotation,z,1.0,deg,results/configs_used/openvins_MH01_rot_z_1deg_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH01_rot_z_1deg_full_000/openvins_estimate.tum,success,0.117957,0.033253,0.260834,,139.100000,0.740881,,Full MH01 OpenVINS run with frozen calibration and z-axis camera-IMU rotation perturbation of 1 degree.
openvins_MH01_rot_z_2deg_full_000,MH_01_easy,openvins,rotation,z,2.0,deg,results/configs_used/openvins_MH01_rot_z_2deg_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH01_rot_z_2deg_full_000/openvins_estimate.tum,success,0.188732,0.042565,0.237368,,139.100000,0.740881,,Full MH01 OpenVINS run with frozen calibration and z-axis camera-IMU rotation perturbation of 2 degrees.
openvins_MH01_trans_y_5cm_full_000,MH_01_easy,openvins,translation,y,5.0,cm,results/configs_used/openvins_MH01_trans_y_5cm_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH01_trans_y_5cm_full_000/openvins_estimate.tum,success,0.095484,0.003577,0.042328,,139.100000,0.740881,,Full MH01 OpenVINS run with frozen calibration and y-axis camera-IMU translation perturbation of 5 cm.
openvins_MH01_trans_y_2cm_full_000,MH_01_easy,openvins,translation,y,2.0,cm,results/configs_used/openvins_MH01_trans_y_2cm_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH01_trans_y_2cm_full_000/openvins_estimate.tum,success,0.073369,0.002520,0.040947,,139.100000,0.740881,,Full MH01 OpenVINS run with frozen calibration and y-axis camera-IMU translation perturbation of 2 cm.
openvins_MH01_trans_y_1cm_full_000,MH_01_easy,openvins,translation,y,1.0,cm,results/configs_used/openvins_MH01_trans_y_1cm_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH01_trans_y_1cm_full_000/openvins_estimate.tum,success,0.100477,0.003801,0.047589,,139.100000,0.740881,,Full MH01 OpenVINS run with frozen calibration and y-axis camera-IMU translation perturbation of 1 cm.
openvins_MH03_nominal_full_000,MH_03_medium,openvins,nominal,none,0,none,results/configs_used/openvins_MH03_nominal_full_000/estimator_config.yaml,results/trajectories/nominal/openvins_MH03_nominal_full_000/openvins_estimate.tum,success,0.107259,0.004381,0.018141,,115.500000,0.849802,,Full MH03 OpenVINS nominal run with frozen calibration; SE3 alignment no scale.
openvins_MH03_rot_z_5deg_full_000,MH_03_medium,openvins,rotation,z,5.0,deg,results/configs_used/openvins_MH03_rot_z_5deg_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH03_rot_z_5deg_full_000/openvins_estimate.tum,success,831.507723,1.944413,0.072117,,115.500000,0.849802,,Full MH03 OpenVINS run with frozen calibration and z-axis camera-IMU rotation perturbation of 5 degrees.
openvins_MH03_rot_z_2deg_full_000,MH_03_medium,openvins,rotation,z,2.0,deg,results/configs_used/openvins_MH03_rot_z_2deg_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH03_rot_z_2deg_full_000/openvins_estimate.tum,success,0.353662,0.094482,0.268001,,115.500000,0.849802,,Full MH03 OpenVINS run with frozen calibration and z-axis camera-IMU rotation perturbation of 2 degrees.
openvins_MH03_trans_y_5cm_full_000,MH_03_medium,openvins,translation,y,5.0,cm,results/configs_used/openvins_MH03_trans_y_5cm_full_000/estimator_config.yaml,results/trajectories/perturbed/openvins_MH03_trans_y_5cm_full_000/openvins_estimate.tum,success,0.111380,0.046137,0.174455,,115.500000,0.849802,,Full MH03 OpenVINS run with frozen calibration and y-axis camera-IMU translation perturbation of 5 cm.
